filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_033_5300_4_V1.nc,2018,33,5300,4,2018-02-02,272
RCA_sb_sp_temperature_2018_033_5301_5_V1.nc,2018,33,5301,5,2018-02-02,273
RCA_sb_sp_temperature_2018_033_5302_6_V1.nc,2018,33,5302,6,2018-02-02,274
RCA_sb_sp_temperature_2018_033_5303_7_V1.nc,2018,33,5303,7,2018-02-02,275
RCA_sb_sp_temperature_2018_033_5304_8_V1.nc,2018,33,5304,8,2018-02-02,276
RCA_sb_sp_temperature_2018_033_5305_9_V1.nc,2018,33,5305,9,2018-02-02,277
RCA_sb_sp_temperature_2018_034_5306_1_V1.nc,2018,34,5306,1,2018-02-03,278
RCA_sb_sp_temperature_2018_034_5307_2_V1.nc,2018,34,5307,2,2018-02-03,279
RCA_sb_sp_temperature_2018_034_5308_3_V1.nc,2018,34,5308,3,2018-02-03,280
RCA_sb_sp_temperature_2018_034_5309_4_V1.nc,2018,34,5309,4,2018-02-03,281
