#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 07 22 50 193 11.0 13.3  5.56 16.00 10.38 275 1011.8  10.4  11.3 999.0 99.0 99.00
2016 01 07 23 50 192  9.2 11.2  5.01 16.00  9.92 288 1012.3  10.4  11.3 999.0 99.0 99.00
2016 01 08 00 50 180  9.7 11.8  5.13 16.00  9.80 268 1012.6   9.7  11.3 999.0 99.0 99.00
2016 01 08 01 50 175 11.0 13.2  4.57 16.00  9.13 264 1013.0   9.7  11.3 999.0 99.0 99.00
2016 01 08 02 50 166  9.4 11.7  4.00 14.81  8.33 265 1013.8   9.5  11.4 999.0 99.0 99.00
2016 01 08 03 50 180  6.6  8.9  4.37 14.81  9.31 269 1014.1   9.7  11.4 999.0 99.0 99.00
2016 01 08 04 50 166  8.9 10.5  4.19 14.81  8.98 253 1014.2   9.9  11.4 999.0 99.0 99.00
2016 01 08 05 50 167  8.3 10.4  4.13 12.90  8.92 271 1014.5  10.1  11.3 999.0 99.0 99.00
2016 01 08 06 50 175  7.9  9.7  4.24 13.79  9.19 269 1014.9  10.1  11.3 999.0 99.0 99.00
2016 01 08 07 50 187  7.2  8.6  3.82 14.81  8.65 281 1015.2  10.3  11.3 999.0 99.0 99.00
2016 01 08 08 50 167  2.6  4.1  4.34 14.81  9.41 283 1015.6  10.1  11.3 999.0 99.0 99.00
2016 01 08 09 50 168  6.2  7.9  4.11 14.81  9.37 273 1015.5  10.5  11.3 999.0 99.0 99.00
2016 01 08 10 50 167  6.8  8.2  3.93 14.81  9.28 267 1015.6  10.2  11.3 999.0 99.0 99.00
2016 01 08 11 50 171  7.7  9.3  3.75 14.81  9.09 269 1015.4  10.2  11.3 999.0 99.0 99.00
2016 01 08 12 50 172  7.7  9.6  3.93 13.79  9.40 268 1015.4  10.3  11.3 999.0 99.0 99.00
2016 01 08 13 50 162  8.2 10.7  3.73 14.81  9.08 267 1015.1  10.3  11.3 999.0 99.0 99.00
2016 01 08 14 50 157  8.8 11.3  3.97 13.79  9.07 268 1014.9  10.4  11.3 999.0 99.0 99.00
2016 01 08 15 50 164  8.1  9.7  3.50 12.90  8.33 260 1015.1  10.1  11.3 999.0 99.0 99.00
2016 01 08 16 50 172  9.2 11.3  3.25 12.90  8.16 269 1015.1  10.3  11.3 999.0 99.0 99.00
2016 01 08 17 50 172  9.3 11.3  2.84 12.90  7.62 265 1015.4  10.5  11.3 999.0 99.0 99.00
