year,doy,profile_idx,profile_num,date,index,cluster,month
2016,60,1157,5,2016-02-29,497,0,2
2016,60,1158,6,2016-02-29,498,0,2
2016,60,1159,7,2016-02-29,499,0,2
2016,60,1160,8,2016-02-29,500,0,2
2016,60,1161,9,2016-02-29,501,0,2
2016,61,1162,1,2016-03-01,502,0,3
2016,61,1163,2,2016-03-01,503,0,3
2016,61,1164,3,2016-03-01,504,0,3
2016,61,1165,4,2016-03-01,505,0,3
2016,61,1166,5,2016-03-01,506,0,3
2016,61,1167,6,2016-03-01,507,0,3
2016,61,1168,7,2016-03-01,508,0,3
2016,61,1169,8,2016-03-01,509,0,3
2016,61,1170,9,2016-03-01,510,0,3
2016,62,1171,1,2016-03-02,511,0,3
2016,62,1172,2,2016-03-02,512,0,3
2016,62,1173,3,2016-03-02,513,0,3
2016,62,1174,4,2016-03-02,514,0,3
2016,62,1175,5,2016-03-02,515,0,3
2016,62,1176,6,2016-03-02,516,0,3
2016,62,1177,7,2016-03-02,517,0,3
2016,62,1178,8,2016-03-02,518,0,3
2016,62,1179,9,2016-03-02,519,0,3
2016,63,1180,1,2016-03-03,520,0,3
2016,63,1181,2,2016-03-03,521,0,3
2016,63,1182,3,2016-03-03,522,0,3
2016,63,1183,4,2016-03-03,523,0,3
2016,63,1184,5,2016-03-03,524,0,3
2016,63,1185,6,2016-03-03,525,0,3
2016,63,1186,7,2016-03-03,526,0,3
2016,63,1187,8,2016-03-03,527,0,3
2016,63,1188,9,2016-03-03,528,0,3
2016,64,1189,1,2016-03-04,529,0,3
2016,64,1190,2,2016-03-04,530,0,3
2016,64,1191,3,2016-03-04,531,0,3
2016,64,1192,4,2016-03-04,532,0,3
2016,64,1193,5,2016-03-04,533,0,3
2016,64,1194,6,2016-03-04,534,0,3
2016,64,1195,7,2016-03-04,535,0,3
2016,64,1196,8,2016-03-04,536,0,3
2016,64,1197,9,2016-03-04,537,0,3
2016,65,1198,1,2016-03-05,538,0,3
2016,65,1199,2,2016-03-05,539,0,3
2016,65,1200,3,2016-03-05,540,0,3
2016,65,1201,4,2016-03-05,541,0,3
2016,65,1202,5,2016-03-05,542,0,3
2016,65,1203,6,2016-03-05,543,0,3
2016,65,1204,7,2016-03-05,544,0,3
2016,65,1205,8,2016-03-05,545,0,3
2016,65,1206,9,2016-03-05,546,0,3
2016,66,1207,1,2016-03-06,547,0,3
2016,66,1208,2,2016-03-06,548,0,3
2016,66,1209,3,2016-03-06,549,0,3
2016,66,1210,4,2016-03-06,550,0,3
2016,66,1211,5,2016-03-06,551,0,3
2016,66,1212,6,2016-03-06,552,0,3
2016,66,1213,7,2016-03-06,553,0,3
2016,66,1214,8,2016-03-06,554,0,3
2016,66,1215,9,2016-03-06,555,0,3
2016,67,1216,1,2016-03-07,556,0,3
2016,67,1217,2,2016-03-07,557,0,3
2016,67,1218,3,2016-03-07,558,0,3
2016,67,1219,4,2016-03-07,559,0,3
2016,67,1220,5,2016-03-07,560,0,3
2016,67,1221,6,2016-03-07,561,0,3
2016,67,1222,7,2016-03-07,562,0,3
2016,67,1223,8,2016-03-07,563,0,3
2016,67,1224,9,2016-03-07,564,0,3
2016,68,1225,1,2016-03-08,565,0,3
2016,68,1226,2,2016-03-08,566,0,3
2016,68,1227,3,2016-03-08,567,0,3
2016,68,1228,4,2016-03-08,568,0,3
2016,68,1229,5,2016-03-08,569,0,3
2016,68,1230,6,2016-03-08,570,0,3
2016,68,1231,7,2016-03-08,571,0,3
2016,68,1232,8,2016-03-08,572,0,3
2016,68,1233,9,2016-03-08,573,0,3
2016,69,1234,1,2016-03-09,574,0,3
2016,69,1235,2,2016-03-09,575,0,3
2016,69,1236,3,2016-03-09,576,0,3
2016,69,1237,4,2016-03-09,577,0,3
2016,69,1238,5,2016-03-09,578,0,3
2016,69,1239,6,2016-03-09,579,0,3
2016,69,1240,7,2016-03-09,580,0,3
2016,69,1241,8,2016-03-09,581,0,3
2016,69,1242,9,2016-03-09,582,0,3
2016,70,1243,1,2016-03-10,583,0,3
2016,70,1244,2,2016-03-10,584,0,3
2016,70,1245,3,2016-03-10,585,0,3
2016,70,1246,4,2016-03-10,586,0,3
2016,70,1247,5,2016-03-10,587,0,3
2016,70,1248,6,2016-03-10,588,0,3
2016,70,1249,7,2016-03-10,589,0,3
2016,70,1250,8,2016-03-10,590,0,3
2016,71,1251,1,2016-03-11,591,0,3
2016,71,1252,2,2016-03-11,592,0,3
2016,71,1253,3,2016-03-11,593,0,3
2016,72,1254,1,2016-03-12,594,0,3
2016,72,1255,2,2016-03-12,595,0,3
2016,72,1256,3,2016-03-12,596,0,3
2016,72,1257,4,2016-03-12,597,0,3
2016,72,1258,5,2016-03-12,598,0,3
2016,72,1259,6,2016-03-12,599,0,3
2016,72,1260,7,2016-03-12,600,0,3
2016,72,1261,8,2016-03-12,601,0,3
2016,72,1262,9,2016-03-12,602,0,3
2016,73,1263,1,2016-03-13,603,0,3
2016,73,1264,2,2016-03-13,604,0,3
2016,73,1265,3,2016-03-13,605,0,3
2016,73,1266,4,2016-03-13,606,0,3
2016,73,1267,5,2016-03-13,607,0,3
2016,73,1268,6,2016-03-13,608,0,3
2016,73,1269,7,2016-03-13,609,0,3
2016,73,1270,8,2016-03-13,610,0,3
2016,73,1271,9,2016-03-13,611,0,3
2016,74,1272,1,2016-03-14,612,0,3
2016,74,1273,2,2016-03-14,613,0,3
2016,74,1274,3,2016-03-14,614,0,3
2016,74,1275,4,2016-03-14,615,0,3
2016,74,1276,5,2016-03-14,616,0,3
2016,74,1277,6,2016-03-14,617,0,3
2016,74,1278,7,2016-03-14,618,0,3
